#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xset,"utility for configuring and ajusting X server"
,polkit,"manages user policies."
,otf-libertinus,"provides the sans and serif fonts for SAI."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
,otf-ipafont,"japanese fonts"
A,lf-git,"is an extensive terminal file manager."
,ueberzugpp,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in SAI."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read manual pages of programs."
A,librewolf-bin,"is the default browser of SAI which also comes with ad-blocking and other sensible and necessary features by default."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of SAI."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video, audio, playlist or channel when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/sekigetsu/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/sekigetsu/dwm.git,"is the window manager."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands."
G,https://github.com/lukesmithxyz/st.git,"is Luke Smith's custom build of suckless's terminal emulator."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,openssh,"allows you to create ssh connections between devices."
,moreutils,"is a collection of useful unix tools."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-data-eng,"english language pack for OCR"
,fastfetch,"allows you to monitor some aspects of the system, also used to show off."
,libreoffice-still,"free and open source office suite."
,keepassxc,"secure password manager"
,flameshot,"screenshot tool with many other useful features"
,rofi,"application menu with many other options."
,openvpn,"to get the vpn script to work"
,iproute2,"to get the vpn script to work"
,jq,"to get the vpn script to work"
,curl,"to check ip"
,python-pywal,"colourscheme generator"
,wget,"retrieves content from webservers"
,thunderbird,"email client"
